BUSCL_ID_PRE,REINSURANCE_PROGRAM_ID,CED_ID_PRE,BUSINESS_ID_PRE,INSPER_ID_PRE,BUSCL_ENTITY_NAME_CED,POL_RISK_NAME_CED,BUSCL_COUNTRY_CD,BUSCL_COUNTRY,BUSCL_REGION,BUSCL_CLASS_OF_BUSINESS_1,BUSCL_CLASS_OF_BUSINESS_2,BUSCL_CLASS_OF_BUSINESS_3,BUSCL_LIMIT_CURRENCY_CD,AAD_100,LIMIT_100,LIMIT_FLOATER_100,ATTACHMENT_POINT_100,OLW_100,LIMIT_AGG_100,CESSION_PCT,RETENTION_PCT,SUPI_100,BUSCL_PREMIUM_CURRENCY_CD,BUSCL_PREMIUM_GROSS_NET_CD,PREMIUM_RATE_PCT,PREMIUM_DEPOSIT_100,PREMIUM_MIN_100,BUSCL_LIABILITY_1_LINE_100,MAX_COVER_PCT,MIN_EXCESS_PCT,SIGNED_SHARE_PCT,AVERAGE_LINE_SLAV_CED,PML_DEFAULT_PCT,LIMIT_EVENT,NO_OF_REINSTATEMENTS,INCLUDES_HULL,INCLUDES_LIABILITY
1,1,,,1,,,,,,,,,USD,,575000000.0,,,,,0.25,,,,,,,,,,,0.0165,,,,,1.0,1.0
2,1,,,1,,,,,,,,,CAD,,575000000.0,,,,,0.25,,,,,,,,,,,0.0165,,,,,1.0,1.0
3,1,,,1,,,,,,,,,EUR,,575000000.0,,,,,0.25,,,,,,,,,,,0.0165,,,,,1.0,1.0
4,1,,,1,,,,,,,,,AUD,,575000000.0,,,,,0.25,,,,,,,,,,,0.0165,,,,,1.0,1.0
5,1,,,1,,,,,,,,,GBP,,575000000.0,,,,,0.25,,,,,,,,,,,0.0165,,,,,1.0,1.0
6,1,,,2,,,,,,,,,USD,,65000000.0,,35000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
7,1,,,2,,,,,,,,,CAD,,65000000.0,,35000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
8,1,,,2,,,,,,,,,EUR,,65000000.0,,35000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
9,1,,,2,,,,,,,,,AUD,,65000000.0,,35000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
10,1,,,2,,,,,,,,,GBP,,43333333.0,,23333333.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
11,1,,,3,,,,,,,,,USD,,50000000.0,,65000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
12,1,,,3,,,,,,,,,CAD,,50000000.0,,65000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
13,1,,,3,,,,,,,,,EUR,,50000000.0,,65000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
14,1,,,3,,,,,,,,,AUD,,50000000.0,,65000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
15,1,,,3,,,,,,,,,GBP,,33333333.0,,43333333.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
16,1,,,4,,,,,,,,,USD,,100000000.0,,115000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
17,1,,,4,,,,,,,,,CAD,,100000000.0,,115000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
18,1,,,4,,,,,,,,,EUR,,100000000.0,,115000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
19,1,,,4,,,,,,,,,AUD,,100000000.0,,115000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
20,1,,,4,,,,,,,,,GBP,,66666666.0,,76666666.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
21,1,,,5,,,,,,,,,USD,,100000000.0,,215000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
22,1,,,5,,,,,,,,,CAD,,100000000.0,,215000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
23,1,,,5,,,,,,,,,EUR,,100000000.0,,215000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
24,1,,,5,,,,,,,,,AUD,,100000000.0,,215000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
25,1,,,5,,,,,,,,,GBP,,66666666.0,,143333333.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
26,1,,,6,,,,,,,,,USD,,100000000.0,,315000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
27,1,,,6,,,,,,,,,CAD,,100000000.0,,315000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
28,1,,,6,,,,,,,,,EUR,,100000000.0,,315000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
29,1,,,6,,,,,,,,,AUD,,100000000.0,,315000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
30,1,,,6,,,,,,,,,GBP,,66666666.0,,210000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
31,1,,,7,,,,,,,,,USD,,150000000.0,,415000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
32,1,,,7,,,,,,,,,CAD,,150000000.0,,415000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
33,1,,,7,,,,,,,,,EUR,,150000000.0,,415000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
34,1,,,7,,,,,,,,,AUD,,150000000.0,,415000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
35,1,,,7,,,,,,,,,GBP,,100000000.0,,276666666.0,,,,,,,,,,,,,,0.05,,,,,1.0,1.0
36,2,,,8,,,,,,,,,,,575000000.0,,,,,0.25,,,,,,,,,,,0.0165,,,,,1.0,1.0
37,2,,,9,,,,,,,,,,,10000000.0,,5000000.0,,,,,,,,,,,,,,0.05,,,,,1.0,0.0
38,2,,,10,,,,,,,,,,,40000000.0,,10000000.0,,,,,,,,,,,,,,0.05,,,,,0.0,1.0
39,3,,,11,,,United States,,,,,,,,8750000.0,,3000000.0,,,,,,,,,,,,,,0.1,,,,,1.0,1.0
40,3,,,11,,,Canada,,,,,,,,8750000.0,,3000000.0,,,,,,,,,,,,,,0.1,,,,,1.0,1.0
41,3,,,12,,,United States,,,,,,,,10000000.0,,11750000.0,,,,,,,,,,,,,,0.1,,,,,1.0,1.0
42,3,,,12,,,Canada,,,,,,,,10000000.0,,11750000.0,,,,,,,,,,,,,,0.1,,,,,1.0,1.0
43,3,,,13,,,United States,,,,,,,,23250000.0,,21750000.0,,,,,,,,,,,,,,0.0979,,,,,1.0,1.0
44,3,,,13,,,Canada,,,,,,,,23250000.0,,21750000.0,,,,,,,,,,,,,,0.0979,,,,,1.0,1.0
45,4,,,14,,,,,,,,,,,25000000.0,,,,,1.0,,,,,,,,,,,0.1,,,,,,
46,4,,,14,,cyber,,,,,,,,,10000000.0,,,,,1.0,,,,,,,,,,,0.1,,,,,,
47,5,,,15,,,,,,Financial Institutions;Commercial Crime;Professional Indemnity / Errors and Omissions;Commercial Directors and Officers;Medical Malpractice;Transactional Liability,,,GBP,,3000000.0,,1000000.0,,,,,,,,,,,,,,0.1,,,,,,
48,5,,,15,,,,,,Financial Institutions;Commercial Crime;Professional Indemnity / Errors and Omissions;Commercial Directors and Officers;Medical Malpractice;Transactional Liability,,,USD,,4500000.0,,1500000.0,,,,,,,,,,,,,,0.1,,,,,,
49,5,,,15,,,,,,Financial Institutions;Commercial Crime;Professional Indemnity / Errors and Omissions;Commercial Directors and Officers;Medical Malpractice;Transactional Liability,,,EUR,,4500000.0,,1500000.0,,,,,,,,,,,,,,0.1,,,,,,
50,5,,,15,,,,,,Financial Institutions;Commercial Crime;Professional Indemnity / Errors and Omissions;Commercial Directors and Officers;Medical Malpractice;Transactional Liability,,,CAD,,5250000.0,,1750000.0,,,,,,,,,,,,,,0.1,,,,,,
51,5,,,15,,,,,,Financial Institutions;Commercial Crime;Professional Indemnity / Errors and Omissions;Commercial Directors and Officers;Medical Malpractice;Transactional Liability,,,AUD,,8000000.0,,2000000.0,,,,,,,,,,,,,,0.1,,,,,,
52,5,,,15,,,,,,Employers' Liability;General Liability,,,GBP,,2500000.0,,1500000.0,,,,,,,,,,,,,,0.1,,,,,,
53,5,,,15,,,,,,Employers' Liability;General Liability,,,USD,,3750000.0,,2250000.0,,,,,,,,,,,,,,0.1,,,,,,
54,5,,,15,,,,,,Employers' Liability;General Liability,,,EUR,,3750000.0,,2250000.0,,,,,,,,,,,,,,0.1,,,,,,
55,5,,,15,,,,,,Employers' Liability;General Liability,,,CAD,,4375000.0,,2625000.0,,,,,,,,,,,,,,0.1,,,,,,
56,5,,,15,,,,,,Employers' Liability;General Liability,,,AUD,,7000000.0,,3000000.0,,,,,,,,,,,,,,0.1,,,,,,
57,5,,,16,,,,,,,,,GBP,,6000000.0,,4000000.0,,,,,,,,,,,,,,0.1,,,,,,
58,5,,,16,,,,,,,,,USD,,9000000.0,,6000000.0,,,,,,,,,,,,,,0.1,,,,,,
59,5,,,16,,,,,,,,,EUR,,9000000.0,,6000000.0,,,,,,,,,,,,,,0.1,,,,,,
60,5,,,16,,,,,,,,,CAD,,10500000.0,,7000000.0,,,,,,,,,,,,,,0.1,,,,,,
61,5,,,16,,,,,,,,,AUD,,15000000.0,,10000000.0,,,,,,,,,,,,,,0.1,,,,,,
62,5,,,17,,,,,,,,,GBP,,5000000.0,,10000000.0,,,,,,,,,,,,,,0.1,,,,,,
63,5,,,17,,,,,,,,,USD,,10000000.0,,15000000.0,,,,,,,,,,,,,,0.1,,,,,,
64,5,,,17,,,,,,,,,EUR,,10000000.0,,15000000.0,,,,,,,,,,,,,,0.1,,,,,,
65,5,,,17,,,,,,,,,CAD,,8750000.0,,17500000.0,,,,,,,,,,,,,,0.1,,,,,,
66,5,,,17,,,,,,,,,AUD,,5000000.0,,25000000.0,,,,,,,,,,,,,,0.1,,,,,,
67,6,,,18,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,1.0,,,,,1.0,1.0
68,7,,,19,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,1.0,,,,,,
