BUSCL_ID_PRE,REINSURANCE_PROGRAM_ID,CED_ID_PRE,BUSINESS_ID_PRE,INSPER_ID_PRE,BUSCL_ENTITY_NAME_CED,POL_RISK_NAME_CED,BUSCL_COUNTRY_CD,BUSCL_COUNTRY,BUSCL_REGION,BUSCL_CLASS_OF_BUSINESS_1,BUSCL_CLASS_OF_BUSINESS_2,BUSCL_CLASS_OF_BUSINESS_3,BUSCL_LIMIT_CURRENCY_CD,AAD_100,LIMIT_100,LIMIT_FLOATER_100,ATTACHMENT_POINT_100,OLW_100,LIMIT_AGG_100,CESSION_PCT,RETENTION_PCT,SUPI_100,BUSCL_PREMIUM_CURRENCY_CD,BUSCL_PREMIUM_GROSS_NET_CD,PREMIUM_RATE_PCT,PREMIUM_DEPOSIT_100,PREMIUM_MIN_100,BUSCL_LIABILITY_1_LINE_100,MAX_COVER_PCT,MIN_EXCESS_PCT,SIGNED_SHARE_PCT,AVERAGE_LINE_SLAV_CED,PML_DEFAULT_PCT,LIMIT_EVENT,NO_OF_REINSTATEMENTS,INCLUDES_HULL,INCLUDES_LIABILITY
1,1,,,1,,,,,,Financial Institutions;Commercial Crime;Professional Indemnity / Errors and Omissions;Commercial Directors and Officers;Medical Malpractice;Transactional Liability,,,GBP,,3000000,,1000000,,,,,,,,,,,,,,0.1,,,,,,
2,1,,,1,,,,,,Financial Institutions;Commercial Crime;Professional Indemnity / Errors and Omissions;Commercial Directors and Officers;Medical Malpractice;Transactional Liability,,,USD,,4500000,,1500000,,,,,,,,,,,,,,0.1,,,,,,
3,1,,,1,,,,,,Financial Institutions;Commercial Crime;Professional Indemnity / Errors and Omissions;Commercial Directors and Officers;Medical Malpractice;Transactional Liability,,,EUR,,4500000,,1500000,,,,,,,,,,,,,,0.1,,,,,,
4,1,,,1,,,,,,Financial Institutions;Commercial Crime;Professional Indemnity / Errors and Omissions;Commercial Directors and Officers;Medical Malpractice;Transactional Liability,,,CAD,,5250000,,1750000,,,,,,,,,,,,,,0.1,,,,,,
5,1,,,1,,,,,,Financial Institutions;Commercial Crime;Professional Indemnity / Errors and Omissions;Commercial Directors and Officers;Medical Malpractice;Transactional Liability,,,AUD,,8000000,,2000000,,,,,,,,,,,,,,0.1,,,,,,
6,1,,,1,,,,,,Employers' Liability;General Liability,,,GBP,,2500000,,1500000,,,,,,,,,,,,,,0.1,,,,,,
7,1,,,1,,,,,,Employers' Liability;General Liability,,,USD,,3750000,,2250000,,,,,,,,,,,,,,0.1,,,,,,
8,1,,,1,,,,,,Employers' Liability;General Liability,,,EUR,,3750000,,2250000,,,,,,,,,,,,,,0.1,,,,,,
9,1,,,1,,,,,,Employers' Liability;General Liability,,,CAD,,4375000,,2625000,,,,,,,,,,,,,,0.1,,,,,,
10,1,,,1,,,,,,Employers' Liability;General Liability,,,AUD,,7000000,,3000000,,,,,,,,,,,,,,0.1,,,,,,
11,1,,,2,,,,,,,,,GBP,,6000000,,4000000,,,,,,,,,,,,,,0.1,,,,,,
12,1,,,2,,,,,,,,,USD,,9000000,,6000000,,,,,,,,,,,,,,0.1,,,,,,
13,1,,,2,,,,,,,,,EUR,,9000000,,6000000,,,,,,,,,,,,,,0.1,,,,,,
14,1,,,2,,,,,,,,,CAD,,10500000,,7000000,,,,,,,,,,,,,,0.1,,,,,,
15,1,,,2,,,,,,,,,AUD,,15000000,,10000000,,,,,,,,,,,,,,0.1,,,,,,
16,1,,,3,,,,,,,,,GBP,,5000000,,10000000,,,,,,,,,,,,,,0.1,,,,,,
17,1,,,3,,,,,,,,,USD,,10000000,,15000000,,,,,,,,,,,,,,0.1,,,,,,
18,1,,,3,,,,,,,,,EUR,,10000000,,15000000,,,,,,,,,,,,,,0.1,,,,,,
19,1,,,3,,,,,,,,,CAD,,8750000,,17500000,,,,,,,,,,,,,,0.1,,,,,,
20,1,,,3,,,,,,,,,AUD,,5000000,,25000000,,,,,,,,,,,,,,0.1,,,,,,
