insured_name,cedent_name,country,currency,exposure,total_ceded_by_cedent,ceded_to_reinsurer,retained_by_cedant,policy_inception_date,policy_expiry_date,exclusion_status,exclusion_reason
JAPAN AIRLINES,GENERALI,Germany,EUR,87807174.3,40499589.7,38747271.0,47307584.6,2024-10-20,2026-10-20,included,
BRITISH AIRWAYS,BERKSHIRE HATHAWAY,Switzerland,CHF,97806451.1,34136160.8,32660236.0,63670290.3,2024-09-27,2026-09-27,included,
AMERICAN AIRLINES,CHUBB,Singapore,SGD,71943764.7,45503109.7,44046477.5,26440655.0,2024-06-17,2025-06-17,included,
JAPAN AIRLINES,AXA,UK,GBP,60775749.6,13035778.8,12667360.5,47739970.8,2024-06-08,2025-06-08,excluded,War Risk Exclusion
AIR FRANCE-KLM,HANNOVER RE,UK,GBP,61101126.7,22908163.7,22381150.5,38192963.0,2024-01-04,2025-01-03,included,
JAPAN AIRLINES,BERKSHIRE HATHAWAY,USA,USD,45108230.8,27636398.7,27202278.0,17471832.1,2024-11-24,2025-11-24,excluded,Cyber Risk Exclusion
FRONTIER AIRLINES,CHUBB,USA,USD,89493033.7,28843327.9,27681383.4,60649705.8,2024-02-24,2026-02-23,included,
LUFTHANSA GROUP,SWISS RE,USA,USD,52437416.6,4950587.0,4860847.6,47486829.6,2024-03-08,2026-03-08,included,
DELTA AIR LINES,AXA,France,EUR,15461983.3,346838.6,343027.3,15115144.7,2024-03-23,2026-03-23,included,
AIR CANADA,CHUBB,Singapore,SGD,54975847.4,28595919.2,27584901.7,26379928.2,2024-07-06,2026-07-06,included,
THAI AIRWAYS,ZURICH,Germany,EUR,62555680.2,39351178.6,38066355.8,23204501.6,2024-07-18,2025-07-18,excluded,Terrorism Exclusion
CHINA EASTERN,ZURICH,UK,GBP,65984550.5,57799270.6,55576879.7,8185280.0,2024-11-19,2025-11-19,included,
QATAR AIRWAYS,ALLIANZ,Switzerland,CHF,87379606.9,22789884.3,21915104.1,64589722.6,2024-10-24,2026-10-24,included,
QATAR AIRWAYS,BERKSHIRE HATHAWAY,UK,GBP,66565839.3,18325698.1,17830287.2,48240141.2,2024-04-27,2026-04-27,included,
THAI AIRWAYS,ZURICH,Switzerland,CHF,94745274.8,8260302.4,7984238.7,86484972.3,2024-06-22,2026-06-22,excluded,Pandemic Exclusion
MALAYSIA AIRLINES,HANNOVER RE,USA,USD,37431079.8,27437126.5,26987208.7,9993953.4,2024-05-31,2025-05-31,included,
EASYJET,MUNICH RE,Singapore,SGD,80638801.4,58769267.4,58093476.2,21869534.0,2024-05-10,2025-05-10,included,
MALAYSIA AIRLINES,SCOR,France,EUR,38268731.7,29586761.7,28939813.4,8681970.0,2024-08-31,2026-08-31,included,
ALASKA AIRLINES,CHUBB,UK,GBP,56388915.9,29317953.2,28532456.6,27070962.8,2024-10-31,2025-10-31,included,
UNITED AIRLINES,ZURICH,USA,USD,19162515.3,8476362.2,8115378.2,10686153.1,2024-01-02,2026-01-01,excluded,War Risk Exclusion
EMIRATES AIRLINES,BERKSHIRE HATHAWAY,UK,GBP,55491366.9,23309488.6,22701288.4,32181878.3,2024-06-30,2025-06-30,included,
AIR CANADA,BERKSHIRE HATHAWAY,Switzerland,CHF,95301655.2,5168289.6,5029722.6,90133365.6,2024-08-07,2025-08-07,excluded,War Risk Exclusion
ALASKA AIRLINES,SWISS RE,USA,USD,59392074.2,4329519.2,4176906.5,55062555.1,2024-03-31,2026-03-31,included,
ETIHAD AIRWAYS,SCOR,UK,GBP,27027278.5,974259.2,946895.7,26053019.4,2024-08-24,2025-08-24,excluded,Cyber Risk Exclusion
ETIHAD AIRWAYS,AXA,France,EUR,95535630.4,15673025.6,15492680.5,79862604.8,2024-08-03,2025-08-03,included,
THAI AIRWAYS,SWISS RE,Germany,EUR,12704481.3,4090910.8,4035329.5,8613570.5,2024-10-12,2026-10-12,included,
AMERICAN AIRLINES,ZURICH,USA,USD,37608307.6,19751561.3,19002626.7,17856746.3,2024-02-05,2026-02-04,included,
THAI AIRWAYS,BERKSHIRE HATHAWAY,UK,GBP,14900961.6,12669121.6,12377865.7,2231840.1,2024-12-27,2026-12-27,included,
AIR CHINA,SWISS RE,UK,GBP,47460669.4,38214747.6,37281448.1,9245921.8,2024-01-28,2025-01-27,included,
LUFTHANSA GROUP,BERKSHIRE HATHAWAY,UK,GBP,19748687.1,3964053.4,3773386.9,15784633.7,2024-02-19,2025-02-18,included,
THAI AIRWAYS,ALLIANZ,Germany,EUR,71433915.9,1906098.7,1866562.9,69527817.2,2024-05-18,2026-05-18,excluded,Nuclear Risk Exclusion
AIR CANADA,GENERALI,Germany,EUR,99085941.2,48340642.3,46826121.3,50745298.9,2024-12-29,2025-12-29,included,
ETIHAD AIRWAYS,SCOR,UK,GBP,88726816.0,18022626.6,17660127.4,70704189.4,2024-06-30,2025-06-30,excluded,Nuclear Risk Exclusion
SAUDI ARABIAN AIRLINES,BERKSHIRE HATHAWAY,Germany,EUR,71994095.0,6909201.5,6649897.7,65084893.6,2024-06-11,2025-06-11,included,
JETBLUE AIRWAYS,SWISS RE,USA,USD,37907141.5,20328620.7,19450591.6,17578520.9,2024-08-03,2025-08-03,included,
CHINA EASTERN,SCOR,Germany,EUR,86665603.7,72285913.9,71038574.7,14379689.8,2024-03-30,2025-03-30,excluded,War Risk Exclusion
KOREAN AIR,ALLIANZ,Austria,EUR,33068234.3,28925256.9,27695504.9,4142977.5,2024-03-07,2026-03-07,included,
RYANAIR,GENERALI,Austria,EUR,66468403.8,29515112.7,28639529.2,36953291.0,2024-07-08,2025-07-08,excluded,War Risk Exclusion
BRITISH AIRWAYS,CHUBB,UK,GBP,68081787.8,54893202.3,53161073.8,13188585.5,2024-02-05,2025-02-04,included,
SOUTHWEST AIRLINES,ZURICH,UK,GBP,40061141.4,2317881.0,2216374.3,37743260.4,2024-02-11,2026-02-10,included,
CHINA EASTERN,AXA,USA,USD,67377377.7,14704515.3,14280057.2,52672862.4,2024-05-24,2025-05-24,included,
EMIRATES AIRLINES,SWISS RE,Germany,EUR,54371570.8,22036626.2,21733784.1,32334944.6,2024-05-14,2026-05-14,included,
RYANAIR,SWISS RE,Switzerland,CHF,56341499.6,23070435.3,22040957.6,33271064.3,2024-10-27,2025-10-27,included,
AIR CANADA,CHUBB,UK,GBP,66039490.0,22019822.3,21429441.6,44019667.7,2024-04-10,2026-04-10,included,
KOREAN AIR,SWISS RE,Switzerland,CHF,51506758.0,7793955.5,7698519.3,43712802.5,2024-12-23,2026-12-23,included,
ANA (ALL NIPPON AIRWAYS),ALLIANZ,USA,USD,91441703.1,63755839.2,61894763.8,27685863.9,2024-08-28,2026-08-28,included,
ETIHAD AIRWAYS,ALLIANZ,USA,USD,22360489.3,17922618.9,17318520.9,4437870.4,2024-07-12,2025-07-12,included,
KOREAN AIR,CHUBB,Switzerland,CHF,97981940.3,39532041.2,38934044.4,58449899.1,2024-07-31,2025-07-31,included,
CHINA SOUTHERN,CHUBB,UK,GBP,70644923.0,51402666.6,48930871.1,19242256.4,2024-10-01,2025-10-01,included,
ALASKA AIRLINES,GENERALI,Austria,EUR,51267966.1,8911355.9,8733062.0,42356610.2,2024-05-19,2026-05-19,included,
CHINA EASTERN,ALLIANZ,Austria,EUR,89750884.4,11793767.4,11589745.4,77957117.0,2024-01-29,2026-01-28,included,
EASYJET,SWISS RE,USA,USD,40435684.5,28946155.6,28448880.2,11489528.9,2024-07-09,2025-07-09,included,
DELTA AIR LINES,ZURICH,UK,GBP,50298100.4,25917395.7,24996455.7,24380704.7,2024-01-09,2026-01-08,included,
LUFTHANSA GROUP,SWISS RE,Switzerland,CHF,33685860.1,28554114.8,28079719.7,5131745.4,2024-10-03,2025-10-03,included,
AIR CHINA,SWISS RE,Germany,EUR,50254259.4,34060309.7,33662047.9,16193949.7,2024-06-10,2026-06-10,excluded,Pandemic Exclusion
SOUTHWEST AIRLINES,SWISS RE,UK,GBP,61618937.6,43389203.9,41851267.9,18229733.7,2024-07-12,2026-07-12,included,
VIRGIN ATLANTIC,MUNICH RE,Germany,EUR,81574598.8,47884619.3,47236933.7,33689979.5,2024-02-10,2026-02-09,included,
EMIRATES AIRLINES,GENERALI,France,EUR,77793635.6,36435775.7,34898697.5,41357859.9,2024-05-15,2025-05-15,included,
KOREAN AIR,ALLIANZ,Germany,EUR,28776191.7,25233083.6,24469962.7,3543108.0,2024-11-02,2025-11-02,included,
THAI AIRWAYS,SWISS RE,UK,GBP,66340845.7,11221786.5,10832131.4,55119059.2,2024-01-14,2025-01-13,included,
SPIRIT AIRLINES,CHUBB,UK,GBP,17187601.8,9629920.8,9383932.1,7557681.0,2024-05-29,2025-05-29,included,
ETIHAD AIRWAYS,BERKSHIRE HATHAWAY,Germany,EUR,52469293.1,15856323.4,15430489.3,36612969.7,2024-08-16,2026-08-16,included,
SAUDI ARABIAN AIRLINES,GENERALI,Germany,EUR,76006765.1,9940319.3,9590240.9,66066445.9,2024-12-02,2026-12-02,included,
CHINA SOUTHERN,ALLIANZ,USA,USD,48635243.0,3672723.4,3490900.1,44962519.7,2024-02-18,2026-02-17,included,
RYANAIR,GENERALI,Germany,EUR,31701665.0,23039818.9,22309995.7,8661846.1,2024-10-17,2025-10-17,included,
DELTA AIR LINES,SCOR,USA,USD,10432446.1,1597221.0,1561625.5,8835225.0,2024-11-03,2026-11-03,included,
ETIHAD AIRWAYS,SCOR,USA,USD,77355325.2,53840448.4,51163519.6,23514876.8,2024-03-26,2026-03-26,excluded,Terrorism Exclusion
RYANAIR,CHUBB,Singapore,SGD,56443484.0,5270200.6,5146089.9,51173283.5,2024-12-23,2026-12-23,included,
VIRGIN ATLANTIC,SWISS RE,USA,USD,54305147.1,23657478.5,22959751.3,30647668.7,2024-06-25,2026-06-25,included,
EMIRATES AIRLINES,HANNOVER RE,France,EUR,10372683.6,7060644.3,6914123.7,3312039.3,2024-09-06,2025-09-06,excluded,Terrorism Exclusion
DELTA AIR LINES,ALLIANZ,Germany,EUR,59517549.7,32758140.5,31270087.6,26759409.3,2024-04-06,2025-04-06,included,
AIR FRANCE-KLM,SCOR,France,EUR,46656831.5,24880165.2,23715330.2,21776666.2,2024-10-17,2026-10-17,included,
CATHAY PACIFIC,ALLIANZ,USA,USD,69699282.6,52589353.0,51695430.6,17109929.6,2024-10-03,2025-10-03,included,
SINGAPORE AIRLINES,AXA,Germany,EUR,30791645.1,4635974.8,4491242.0,26155670.2,2024-03-19,2026-03-19,included,
FRONTIER AIRLINES,BERKSHIRE HATHAWAY,Germany,EUR,31964815.4,570600.1,549362.0,31394215.3,2024-07-31,2025-07-31,included,
UNITED AIRLINES,ZURICH,UK,GBP,34320124.2,16467832.8,16073624.4,17852291.4,2024-10-15,2026-10-15,included,
ETIHAD AIRWAYS,AXA,France,EUR,99980587.4,59898912.4,57583942.7,40081675.0,2024-06-28,2025-06-28,included,
TURKISH AIRLINES,CHUBB,UK,GBP,55802147.8,25107231.0,24054793.2,30694916.8,2024-04-02,2025-04-02,included,
MALAYSIA AIRLINES,HANNOVER RE,Germany,EUR,89882927.5,4814280.0,4593474.6,85068647.6,2024-12-12,2026-12-12,included,
AMERICAN AIRLINES,ALLIANZ,Germany,EUR,61976435.8,40592574.2,39973987.5,21383861.6,2024-01-21,2025-01-20,included,
TURKISH AIRLINES,SCOR,USA,USD,91828768.8,29586961.1,29223734.3,62241807.7,2024-05-20,2026-05-20,included,
CATHAY PACIFIC,AXA,Germany,EUR,21050567.1,2064753.9,1977156.2,18985813.2,2024-01-22,2025-01-21,included,
TURKISH AIRLINES,CHUBB,USA,USD,50403146.6,8851386.7,8753595.3,41551759.9,2024-06-26,2026-06-26,included,
SOUTHWEST AIRLINES,GENERALI,Germany,EUR,70244301.7,55665338.3,54140121.8,14578963.4,2024-02-04,2026-02-03,included,
KOREAN AIR,HANNOVER RE,UK,GBP,82949299.5,41386125.7,40685881.4,41563173.8,2024-07-24,2025-07-24,included,
ANA (ALL NIPPON AIRWAYS),CHUBB,UK,GBP,19635594.5,10533361.8,10287457.5,9102232.7,2024-08-16,2026-08-16,excluded,Nuclear Risk Exclusion
SOUTHWEST AIRLINES,ZURICH,USA,USD,44212927.6,28931432.1,28288678.1,15281495.6,2024-09-19,2026-09-19,included,
ANA (ALL NIPPON AIRWAYS),ALLIANZ,Switzerland,CHF,75103542.7,35248935.0,33859773.5,39854607.7,2024-08-05,2025-08-05,included,
SAUDI ARABIAN AIRLINES,SWISS RE,Germany,EUR,23960192.9,20603122.7,20343522.3,3357070.2,2024-01-29,2025-01-28,included,
EMIRATES AIRLINES,SCOR,Germany,EUR,85170126.6,65607188.8,62818951.8,19562937.8,2024-03-19,2026-03-19,excluded,Nuclear Risk Exclusion
EMIRATES AIRLINES,CHUBB,USA,USD,20679579.5,17660925.0,16780476.2,3018654.5,2024-05-07,2025-05-07,included,
AIR FRANCE-KLM,BERKSHIRE HATHAWAY,UK,GBP,28285213.0,422959.8,418605.3,27862253.2,2024-04-20,2025-04-20,included,
AMERICAN AIRLINES,SCOR,France,EUR,40000121.0,2374094.4,2285688.3,37626026.6,2024-07-05,2025-07-05,included,
ALASKA AIRLINES,MUNICH RE,UK,GBP,56032765.0,15559078.5,14909217.6,40473686.4,2024-04-27,2025-04-27,included,
BRITISH AIRWAYS,MUNICH RE,UK,GBP,31991244.9,22110648.1,21225556.2,9880596.8,2024-10-18,2025-10-18,excluded,War Risk Exclusion
EMIRATES AIRLINES,BERKSHIRE HATHAWAY,Switzerland,CHF,32823626.9,14802564.5,14414771.9,18021062.5,2024-06-08,2025-06-08,excluded,Nuclear Risk Exclusion
SOUTHWEST AIRLINES,HANNOVER RE,France,EUR,61941836.1,7590292.8,7498762.2,54351543.3,2024-08-25,2025-08-25,included,
QATAR AIRWAYS,ALLIANZ,Austria,EUR,15225426.7,11505678.5,11011274.1,3719748.3,2024-02-04,2025-02-03,excluded,War Risk Exclusion
JAPAN AIRLINES,SCOR,France,EUR,10079473.3,3505746.3,3449333.8,6573727.0,2024-02-23,2025-02-22,included,
TURKISH AIRLINES,HANNOVER RE,USA,USD,94830824.4,56562729.7,55666949.0,38268094.8,2024-03-21,2026-03-21,included,
CATHAY PACIFIC,CHUBB,USA,USD,79867998.8,26275187.0,25398956.5,53592811.9,2024-10-04,2026-10-04,included,
AIR FRANCE-KLM,HANNOVER RE,France,EUR,35698528.8,15913054.8,15335773.7,19785474.0,2024-08-25,2026-08-25,included,
AIR FRANCE-KLM,CHUBB,USA,USD,13062951.1,152517.1,146659.2,12910434.0,2024-09-29,2025-09-29,excluded,Nuclear Risk Exclusion
EASYJET,GENERALI,Austria,EUR,35800745.6,23587615.1,22439944.6,12213130.4,2024-04-04,2025-04-04,included,
